,Huc_8,Watershed,Huc_12,Huc_12Name,Type,Category,Scientific_Name,Common_Name,Global_Rank,State_Rank,Fed_Status,State_Status,Habitat,Wet_Habitat_Flag
1306,5130108,Caney Fork River,51301080601,Caney Fork River-Rocky River,Invertebrate Animal,Insect,Triacanthella copelandi,Copeland's Springtail,G1,S1,--,"Rare, Not State Listed",Terrestrial cave associate; middle Cumberlands; also reported from Great Smoky Mtns.,Upland
1308,5130108,Caney Fork River,51301080601,Caney Fork River-Rocky River,Invertebrate Animal,Arachnid,Theromaster sp. 1,A Harvestman From Cummings Cove Cave,G1,S1,--,"Rare, Not State Listed",Terrestrial cave associate; known from one cave in the Cumberland Plateau; Van Buren County.,Upland
1311,5130108,Caney Fork River,51301080602,Sink Creek,Vertebrate Animal,Fish,Fundulus julisia,Barrens Topminnow,G1,S1,LE,E,"Springs, spring runs, and first- and second-order headwaters and creeks in the Barrens of Cannon, Coffee, & Warren counties.",Aquatic
1319,5130108,Caney Fork River,51301080603,Pine Creek,Vertebrate Animal,Fish,Fundulus julisia,Barrens Topminnow,G1,S1,LE,E,"Springs, spring runs, and first- and second-order headwaters and creeks in the Barrens of Cannon, Coffee, & Warren counties.",Aquatic
1331,5130108,Caney Fork River,51301080605,Center Hill Lake,Invertebrate Animal,Mollusc,Helicodiscus punctatellus,Punctate Coil,G1,S1,--,"Rare, Not State Listed","Limestone talus deposits, Eastern Highland Rim; Jackson County; known from Pleistocene fossil specimens; may not be extant in TN.",Upland
1341,5130108,Caney Fork River,51301080606,Fall Creek,Vertebrate Animal,Fish,Fundulus julisia,Barrens Topminnow,G1,S1,LE,E,"Springs, spring runs, and first- and second-order headwaters and creeks in the Barrens of Cannon, Coffee, & Warren counties.",Aquatic
1413,5130108,Caney Fork River,51301080805,Dry Creek,Invertebrate Animal,Other Type,Pseudotremia lictor,A Cave Obligate Millipede,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; Eastern Highland Rim; DeKalb County.,Upland
1414,5130108,Caney Fork River,51301080805,Dry Creek,Invertebrate Animal,Insect,Pseudanophthalmus tiresias,Indian Grave Point Cave Beetle,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; Eastern Highland Rim; DeKalb County.,Upland
1422,5130108,Caney Fork River,51301080805,Dry Creek,Invertebrate Animal,Arachnid,Kleptochthonius myopius,A Cave Obligate Pseudoscorpion,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; Eastern Highland Rim.,Upland
1425,5130108,Caney Fork River,51301080805,Dry Creek,Invertebrate Animal,Other Type,Pseudotremia cercops,A Cave Obligate Millipede,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; Eastern Highland Rim escarpment; reported from Dekalb County.,Upland
1426,5130108,Caney Fork River,51301080805,Dry Creek,International Vegetation Classification - Natural,Plant Community,Carex lurida - Carex leptalea - Parnassia grandifolia - Juncus brachycephalus - (Xyris tennesseensis) Seepage Fen,Highland Rim Parnassia Seepage Fen,G1,SNR,--,"Rare, Not State Listed",-,-
1460,5130108,Caney Fork River,51301080905,Center Hill Lake,Invertebrate Animal,Mollusc,Plethobasus cicatricosus,White Wartyback,G1,S1,"LE, XN",E,Presumed to inhabit shoals and riffles in large rivers; Tennessee & Cumberland river systems.  Very rare & poss extirpated in TN.,Aquatic
1466,5130108,Caney Fork River,51301080905,Center Hill Lake,Invertebrate Animal,Mollusc,Epioblasma brevidens,Cumberlandian Combshell,G1,S1,"LE, XN",E,"Large creeks to large rivers, in coarse sand or mixtures of gravel, cobble, or rocks; Tennessee & Cumberland river systems.",Aquatic
1476,5130108,Caney Fork River,51301080905,Center Hill Lake,Invertebrate Animal,Mollusc,Cyprogenia stegaria,Fanshell,G1,S1,"LE, XN",E,Medium to large streams and rivers with coarse sand and gravel substrates; Cumberland and Tennessee river systems.,Aquatic
1479,5130108,Caney Fork River,51301080905,Center Hill Lake,Invertebrate Animal,Mollusc,Epioblasma obliquata,Catspaw,G1,S1,LE,E,"Medium-large rivers, in sand and gravel substrates in runs and riffles; Tennessee & Cumberland river systems.",Aquatic
1481,5130108,Caney Fork River,51301080905,Center Hill Lake,Invertebrate Animal,Mollusc,Dromus dromas,Dromedary Pearlymussel,G1,S1,"LE, XN",E,"Medium-large rivers with riffles and shoals w/ relatively firm rubble, gravel, and stable substrates; Tennessee & Cumberland systems.",Aquatic
1485,5130108,Caney Fork River,51301080905,Center Hill Lake,Invertebrate Animal,Mollusc,Epioblasma capsaeformis,Oyster Mussel,G1,S1,"LE, XN",E,Shallow riffles in mod-swift current of small-medium rivers with coarse sand and gravel; Tennessee &amp; Cumberland river systems excluding the Duck River.,Aquatic
