Huc 8,Huc 8 Name,Huc 12,Huc 12 Name,Type,Category,Scientific Name,Common Name,Global Rank,State Rank,Fed Status,State Status,Habitat Description,Wet Habitat Flag
6010107,Lower French Broad River,60101070201,Le Conte Creek,Nonvascular Plant,Non-Vascular Plant,Gymnomitrion laceratum,A Liverwort,G3G5,S1,--,T,Peaty Soil Of Spruce-Fir Forests,Possible
6010107,Lower French Broad River,60101070206,West Prong Little Pigeon River Upper,Nonvascular Plant,Non-Vascular Plant,Gymnomitrion laceratum,A Liverwort,G3G5,S1,--,T,Peaty Soil Of Spruce-Fir Forests,Possible
6010107,Lower French Broad River,60101070206,West Prong Little Pigeon River Upper,Nonvascular Plant,Non-Vascular Plant,Cephaloziella massalongi,A Liverwort,G3G5,S1,--,E,Montane Rock Crevices High In Copper Or Sulphur,Upland
6010107,Lower French Broad River,60101070301,Porters Creek,Nonvascular Plant,Non-Vascular Plant,Cephaloziella massalongi,A Liverwort,G3G5,S1,--,E,Montane Rock Crevices High In Copper Or Sulphur,Upland
6010107,Lower French Broad River,60101070301,Porters Creek,Nonvascular Plant,Non-Vascular Plant,Gymnomitrion laceratum,A Liverwort,G3G5,S1,--,T,Peaty Soil Of Spruce-Fir Forests,Possible
6010205,Upper Clinch River,60102051106,Clinch River-Norris Lake Dam,Nonvascular Plant,Non-Vascular Plant,Palamocladium leskeoides,A Moss,G3G5,S1,--,T,Seepy Limestone Cliffs And Bluffs,Possible
6010207,Lower Clinch River,60102070401,Clinch River-Cane Creek,Nonvascular Plant,Non-Vascular Plant,Palamocladium leskeoides,A Moss,G3G5,S1,--,T,Seepy Limestone Cliffs And Bluffs,Possible
6020003,Ocoee River,60200030211,Ocoee River Dam #1,Vascular Plant,Flowering Plant,Agalinis plukenetii,Purple Gerardia,G3G5,S1,--,E,Dry Sandy Woods,Upland
6030001,Guntersville Lake,60300010103,Sweden Cove,Nonvascular Plant,Non-Vascular Plant,Palamocladium leskeoides,A Moss,G3G5,S1,--,T,Seepy Limestone Cliffs And Bluffs,Possible
6030001,Guntersville Lake,60300010104,Battle Creek Lower,Nonvascular Plant,Non-Vascular Plant,Palamocladium leskeoides,A Moss,G3G5,S1,--,T,Seepy Limestone Cliffs And Bluffs,Possible
6030003,Upper Elk River,60300030205,Woods Resevoir,Vascular Plant,Flowering Plant,Eleocharis wolfii,Wolf Spike-rush,G3G5,S1,--,E,Wet Woods On Floodplains,Possible
6030003,Upper Elk River,60300030402,Rock Creek,Vascular Plant,Flowering Plant,Eleocharis wolfii,Wolf Spike-rush,G3G5,S1,--,E,Wet Woods On Floodplains,Possible
6030003,Upper Elk River,60300030601,Larkin Springs Branch,Vascular Plant,Flowering Plant,Eleocharis wolfii,Wolf Spike-rush,G3G5,S1,--,E,Wet Woods On Floodplains,Possible
6040002,Upper Duck River,60400020102,Wolf Creek,Vascular Plant,Flowering Plant,Eleocharis wolfii,Wolf Spike-rush,G3G5,S1,--,E,Wet Woods On Floodplains,Possible
6040002,Upper Duck River,60400020104,Normandy Lake,Vascular Plant,Flowering Plant,Eleocharis wolfii,Wolf Spike-rush,G3G5,S1,--,E,Wet Woods On Floodplains,Possible
6040002,Upper Duck River,60400020706,Duck River-Flat Creek,Vascular Plant,Flowering Plant,Eleocharis wolfii,Wolf Spike-rush,G3G5,S1,--,E,Wet Woods On Floodplains,Possible
3150101,Conasauga River,31501010103,Ball Play Creek-Conasauga River,Invertebrate Animal,Insect,Ophiogomphus alleghaniensis,Allegheny Snaketail,G3T2T3,S1,--,"Rare, Not State Listed","Riffle areas of spring-fed streams; Cumberland Plateau, Ridge & Valley, & Blue Ridge; not watershed specific.",Aquatic
5130108,Caney Fork River,51301080302,Caney Fork River Headwaters,Invertebrate Animal,Insect,Ophiogomphus alleghaniensis,Allegheny Snaketail,G3T2T3,S1,--,"Rare, Not State Listed","Riffle areas of spring-fed streams; Cumberland Plateau, Ridge & Valley, & Blue Ridge; not watershed specific.",Aquatic
6010201,Ft. Loudoun/Watts Bar,60102010105,Little River-Ellejoy Creek,Invertebrate Animal,Insect,Ophiogomphus alleghaniensis,Allegheny Snaketail,G3T2T3,S1,--,"Rare, Not State Listed","Riffle areas of spring-fed streams; Cumberland Plateau, Ridge & Valley, & Blue Ridge; not watershed specific.",Aquatic
